Player,Try Match 11,Try Match 9,Assist Match 11,Assist Match 9,Breaks Match 11,Breaks Match 9,Metres Match 11,Metres Match 9,Offloads Match 11,Offloads Match 9,Carries Match 11,Carries Match 9,Team,,,,
Jacques du Plessis,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Jacques van Rooyen,0,0,0,0,0,0,5,5,0,0,5,5,Bulls,,,,
James Verity-Amm,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Jan-Hendrik Wessels,3,3,0,0,1,1,50,50,5,5,28,27,Bulls,,,,
Janko Swanepoel,1,1,0,0,1,1,23,23,5,4,22,21,Bulls,,,,
Joe van Zyl,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Johan Goosen,2,1,0,0,5,4,229,181,6,2,38,29,Bulls,,,,
Johan Grobbelaar,1,1,0,0,0,0,45,37,4,2,34,23,Bulls,,,,
Juan Mostert,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Keagan Johannes,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Kurt-Lee Arendse,3,3,0,0,6,4,431,320,9,7,73,47,Bulls,,,,
Lionel Mapoe,0,0,0,0,4,3,169,132,10,7,46,34,Bulls,,,,
Lizo Gqoboka,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Marcell Coetzee,4,4,0,0,1,1,141,141,3,3,65,65,Bulls,,,,
Marco Jansen van Vuren,0,0,0,0,1,1,13,13,1,1,2,2,Bulls,,,,
Marco van Staden,1,0,0,0,0,0,136,106,3,3,70,59,Bulls,,,,
Merwe Olivier,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Mihlali Mosi,0,0,0,0,0,0,11,11,0,0,3,3,Bulls,,,,
Mornay Smith,0,0,0,0,0,0,19,16,1,1,35,25,Bulls,,,,
Morne Steyn,0,0,0,0,0,0,5,5,0,0,4,4,Bulls,,,,
Muller Uys,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Neil le Roux,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Nizaam Carr,2,1,0,0,2,1,36,12,2,0,21,8,Bulls,,,,
Phumzile Maqondwana,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Reinhardt Ludwig,0,0,0,0,0,0,7,7,0,0,3,3,Bulls,,,,
Robert Hunt,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Ruan Nortje,3,3,0,0,4,4,134,129,7,6,79,65,Bulls,,,,
Ruan Vermaak,0,0,0,0,0,0,51,29,1,1,26,11,Bulls,,,,
Sbu Nkosi,0,0,0,0,1,1,132,132,0,0,14,14,Bulls,,,,
Sebastian Lombard,0,0,0,0,0,0,0,0,0,0,1,0,Bulls,,,,
Sidney Tobias,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Simphiwe Matanzima,0,0,0,0,0,0,35,20,3,3,34,26,Bulls,,,,
Stedman Gans,0,0,0,0,1,1,42,42,0,0,13,13,Bulls,,,,
Stravino Jacobs,3,3,0,0,5,5,149,149,1,1,13,13,Bulls,,,,
Tiaan Lange,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Walt Steenkamp,0,0,0,0,1,1,27,27,0,0,15,15,Bulls,,,,
Wandisile Simelane,0,0,0,0,2,2,239,239,3,3,25,25,Bulls,,,,
WJ Steenkamp,1,1,0,0,0,0,46,46,0,0,22,22,Bulls,,,,
Zak Burger,3,3,0,0,3,3,145,145,3,3,19,19,Bulls,,,,
Aled Summerhill,1,1,0,0,6,6,192,192,3,3,29,29,Cardiff,,,,
Ben Thomas,1,1,0,0,2,2,157,128,2,2,43,34,Cardiff,,,,
Brad Thyer,0,0,0,0,0,0,1,1,0,0,3,3,Cardiff,,,,
Cam Winnett,0,0,0,0,0,0,0,0,0,0,3,3,Cardiff,,,,
Corey Domachowski,1,0,0,0,1,1,23,21,0,0,19,13,Cardiff,,,,
Dillon Lewis,0,0,0,0,0,0,4,4,1,1,16,16,Cardiff,,,,
Dimitri Arhip,0,0,0,0,0,0,5,5,1,1,16,16,Cardiff,,,,
Efan Daniel,0,0,0,0,0,0,0,0,0,0,0,0,Cardiff,,,,
Ellis Bevan,0,0,0,0,0,0,5,5,1,1,1,1,Cardiff,,,,
Ellis Jenkins,0,0,0,0,0,0,13,0,0,0,2,0,Cardiff,,,,
Gwilym Bradley,0,0,0,0,0,0,0,0,0,0,0,0,Cardiff,,,,
Harri Millard,0,0,0,0,0,0,2,2,0,0,1,1,Cardiff,,,,
