Player,Position,Age,Weight,Height,Year,Team
Darragh Murray,lock,21,2.01,115,22.23,Connacht
Gavin Thornbury,lock,28,2.04,117,22.23,Connacht
Leva Fifita,lock,33,1.94,120,22.23,Connacht
Niall Murray,lock,22,2.01,111,22.23,Connacht
Oisin Dowling,lock,25,1.96,109,22.23,Connacht
Cian Prendergast,back row,22,1.96,112,22.23,Connacht
Ciaran Booth,back row,22,1.88,104,22.23,Connacht
Conor Oliver,back row,27,1.83,102,22.23,Connacht
Jarrad Butler,back row,31,1.86,106,22.23,Connacht
Josh Murphy,back row,27,1.98,110,22.23,Connacht
Oisin Mccormack,back row,21,1.83,100,22.23,Connacht
Paul Boyle,back row,25,1.89,107,22.23,Connacht
Seán Masterson,back row,24,1.9,105,22.23,Connacht
Shamus Hurley-langton,back row,22,1.85,108,22.23,Connacht
Caolin Blade,scrum-half,28,1.7,81,22.23,Connacht
Colm Reilly,scrum-half,23,1.78,78,22.23,Connacht
Kieran Marmion,scrum-half,30,1.8,85,22.23,Connacht
Cathal Forde,fly-half,20,1.88,95,22.23,Connacht
Conor Fitzgerald,fly-half,25,1.84,91,22.23,Connacht
Jack Carty,fly-half,30,1.81,92,22.23,Connacht
Bundee Aki,center,32,1.8,102,22.23,Connacht
David Hawkshaw,center,23,1.78,86,22.23,Connacht
John Porch,center,28,1.85,99,22.23,Connacht
Shane Jennings,center,21,1.91,96,22.23,Connacht
Shayne Bolton,center,22,1.88,100,22.23,Connacht
Tom Daly,center,29,1.93,107,22.23,Connacht
Tom Farrell,center,29,1.9,107,22.23,Connacht
Adam Byrne,winger,28,1.93,101,22.23,Connacht
Alex Wootton,winger,28,1.88,100,22.23,Connacht
Byron Ralston,winger,22,1.84,88,22.23,Connacht
Diarmuid Kilgallen,winger,22,1.93,95,22.23,Connacht
Mack Hansen,fullback,24,1.88,89,22.23,Connacht
Oran Mcnulty,fullback,22,1.78,90,22.23,Connacht
Tiernan O'halloran,fullback,31,1.88,96,22.23,Connacht
Aki Seiuli,prop,29,1.84,118,22.23,Dragons
Chris Coleman,prop,24,1.89,130,22.23,Dragons
Josh Reynolds,prop,23,1.8,112,22.23,Dragons
Leon Brown,prop,25,1.91,126,22.23,Dragons
Lloyd Fairbrother,prop,30,1.75,123,22.23,Dragons
Rhodri Jones,prop,30,1.91,120,22.23,Dragons
Rob Evans,prop,30,1.86,118,22.23,Dragons
Brad Roberts,hooker,26,1.75,108,22.23,Dragons
Elliot Dee,hooker,28,1.86,106,22.23,Dragons
Ellis Shipp,hooker,25,1.79,108,22.23,Dragons
James Benjamin,hooker,28,1.83,100,22.23,Dragons
Ben Carter,lock,21,1.98,117,22.23,Dragons
George Nott,lock,26,1.98,114,22.23,Dragons
Joe Davies,lock,26,1.97,130,22.23,Dragons
Sean Lonsdale,lock,25,1.96,112,22.23,Dragons
Will Rowlands,lock,31,2.03,123,22.23,Dragons
Aaron Wainwright,back row,25,1.9,106,22.23,Dragons
Ben Fry,back row,24,1.86,105,22.23,Dragons
Harri Keddie,back row,26,1.88,110,22.23,Dragons
Huw Taylor,back row,26,1.96,114,22.23,Dragons
Lennon Greggains,back row,23,1.87,102,22.23,Dragons
Ollie Griffiths,back row,27,1.85,104,22.23,Dragons
Ross Moriarty,back row,28,1.88,103,22.23,Dragons
Taine Basham,back row,22,1.83,96,22.23,Dragons
Gonzalo Bertranou,scrum-half,28,1.74,77,22.23,Dragons
Lewis Jones,scrum-half,29,1.75,81,22.23,Dragons
Rhodri Williams,scrum-half,29,1.79,81,22.23,Dragons
Angus O'brien,fly-half,28,1.8,89,22.23,Dragons
JJ Hanrahan,fly-half,30,1.83,93,22.23,Dragons
Sam Davies,fly-half,29,1.8,87,22.23,Dragons
Will Reed,fly-half,20,1.76,80,22.23,Dragons
Aneurin Owen,center,21,1.8,89,22.23,Dragons
Cory Allen,center,29,1.93,102,22.23,Dragons
Jack Dixon,center,27,1.88,105,22.23,Dragons
Max Clark,center,27,1.9,100,22.23,Dragons
Sio Tomkinson,center,26,1.83,95,22.23,Dragons
Steff Hughes,center,28,1.8,91,22.23,Dragons
Ashton Hewitt,winger,27,1.8,90,22.23,Dragons
Jared Rosser,winger,24,1.83,99,22.23,Dragons
Rio Dyer,winger,22,1.86,94,22.23,Dragons
David Richards,fullback,23,1.82,93,22.23,Dragons
Ioan Davies,fullback,22,1.83,84,22.23,Dragons
Jordan Williams,fullback,29,1.73,81,22.23,Dragons
Angus Williams,prop,28,1.8,117,22.23,Edinburgh
Boan Venter,prop,25,1.87,124,22.23,Edinburgh
Harrison Courtney,prop,25,1.84,110,22.23,Edinburgh
Lee Roy atalifo,prop,34,1.8,134,22.23,Edinburgh
Luan De bruin,prop,29,1.83,128,22.23,Edinburgh
Nick Auterac,prop,29,1.83,120,22.23,Edinburgh
Pierre Schoeman,prop,28,1.84,118,22.23,Edinburgh
Wp Nel,prop,36,1.82,120,22.23,Edinburgh
Adam Mcburney,hooker,26,1.83,103,22.23,Edinburgh
Dave Cherry,hooker,31,1.83,107,22.23,Edinburgh
Stuart Mcinally,hooker,32,1.9,110,22.23,Edinburgh
Glen Young,lock,27,2.01,118,22.23,Edinburgh
Grant Gilchrist,lock,32,2.02,120,22.23,Edinburgh
Jamie Hodgson,lock,24,1.97,116,22.23,Edinburgh
Marshall Sykes,lock,22,2,112,22.23,Edinburgh
Mesulame Kunavula,lock,26,1.96,110,22.23,Edinburgh
Pierce Phillips,lock,30,2.03,119,22.23,Edinburgh
Ben Muncaster,back row,20,1.9,110,22.23,Edinburgh
Connor Boyle,back row,22,1.83,91,22.23,Edinburgh
Hamish Watson,back row,30,1.85,102,22.23,Edinburgh
Jamie Ritchie,back row,26,1.93,109,22.23,Edinburgh
Luke Crosbie,back row,25,1.98,110,22.23,Edinburgh
Nick Haining,back row,32,1.93,115,22.23,Edinburgh
Sam Skinner,back row,27,1.96,116,22.23,Edinburgh
Viliame Mata,back row,30,1.96,116,22.23,Edinburgh
Ben Vellacott,scrum-half,27,1.67,78,22.23,Edinburgh
Charlie Shiel,scrum-half,24,1.78,83,22.23,Edinburgh
Henry Pyrgos,scrum-half,33,1.78,83,22.23,Edinburgh
Charlie Savala,fly-half,22,1.93,96,22.23,Edinburgh
Jaco Van der walt,fly-half,28,1.82,92,22.23,Edinburgh
James Lang,fly-half,27,1.83,95,22.23,Edinburgh
Cameron Hutchison,center,24,1.83,99,22.23,Edinburgh
Chris Dean,center,28,1.88,103,22.23,Edinburgh
Mark Bennett,center,29,1.83,91,22.23,Edinburgh
Matt Currie,center,21,1.91,95,22.23,Edinburgh
Wes Goosen,center,26,1.8,92,22.23,Edinburgh
Damien Hoyland,winger,28,1.78,91,22.23,Edinburgh
Darcy Graham,winger,25,1.76,84,22.23,Edinburgh
Emiliano Boffelli,winger,27,1.91,91,22.23,Edinburgh
Freddie Owsley,winger,25,1.93,93,22.23,Edinburgh
Jack Blain,winger,22,1.91,102,22.23,Edinburgh
Blair Kinghorn,fullback,25,1.94,100,22.23,Edinburgh
Henry Immelman,fullback,27,1.89,98,22.23,Edinburgh
Allan Dell,prop,30,1.85,112,22.23,Glasgow Warriors
Enrique Pieretto heiland,prop,27,1.87,122,22.23,Glasgow Warriors
Jamie Bhatti,prop,29,1.85,120,22.23,Glasgow Warriors
Lucio Sordoni,prop,24,1.9,123,22.23,Glasgow Warriors
Murphy Walker,prop,22,1.85,110,22.23,Glasgow Warriors
Nathan Mcbeth,prop,24,1.89,120,22.23,Glasgow Warriors
Oli Kebble,prop,30,1.91,124,22.23,Glasgow Warriors
Simon Berghan,prop,31,1.93,126,22.23,Glasgow Warriors
Zander Fagerson,prop,26,1.88,126,22.23,Glasgow Warriors
Angus Fraser,hooker,22,1.81,110,22.23,Glasgow Warriors
Fraser Brown,hooker,33,1.82,113,22.23,Glasgow Warriors
George Turner,hooker,30,1.81,106,22.23,Glasgow Warriors
Gregor Hiddleston,hooker,20,1.87,120,22.23,Glasgow Warriors
Johnny Matthews,hooker,29,1.83,110,22.23,Glasgow Warriors
Alex Samuel,lock,19,2.07,115,22.23,Glasgow Warriors
Gregor Brown,lock,21,1.96,109,22.23,Glasgow Warriors
JP Du preez,lock,27,2.08,130,22.23,Glasgow Warriors
Lewis Bean,lock,30,2.03,129,22.23,Glasgow Warriors
Max Williamson,lock,20,2.01,120,22.23,Glasgow Warriors
Richie Gray,lock,33,2.06,126,22.23,Glasgow Warriors
Scott Cummings,lock,25,1.98,115,22.23,Glasgow Warriors
Sintu Manjezi,lock,27,1.98,117,22.23,Glasgow Warriors
Ally Miller,back row,26,1.93,112,22.23,Glasgow Warriors
Jack Dempsey,back row,28,1.91,111,22.23,Glasgow Warriors
Matt Fagerson,back row,24,1.87,110,22.23,Glasgow Warriors
Rory Darge,back row,22,1.86,98,22.23,Glasgow Warriors
Ryan Wilson,back row,33,1.93,106,22.23,Glasgow Warriors
Sione Vailanu,back row,27,1.85,127,22.23,Glasgow Warriors
Thomas Gordon,back row,25,1.81,100,22.23,Glasgow Warriors
Ali Price,scrum-half,29,1.78,88,22.23,Glasgow Warriors
Cam Jones,scrum-half,21,1.79,82,22.23,Glasgow Warriors
George Horne,scrum-half,27,1.75,79,22.23,Glasgow Warriors
Jamie Dobie,scrum-half,21,1.75,81,22.23,Glasgow Warriors
Jordan Lenac,scrum-half,25,1.77,85,22.23,Glasgow Warriors
Sean Kennedy,scrum-half,31,1.73,80,22.23,Glasgow Warriors
Domingo Miotti,fly-half,26,1.88,93,22.23,Glasgow Warriors
Duncan Weir,fly-half,31,1.76,91,22.23,Glasgow Warriors
Joel Hodgson,fly-half,30,1.76,84,22.23,Glasgow Warriors
Ross Thompson,fly-half,23,1.83,86,22.23,Glasgow Warriors
Will Hunt,fly-half,24,1.88,90,22.23,Glasgow Warriors
Huw Jones,center,28,1.86,102,22.23,Glasgow Warriors
Kyle Steyn,center,28,1.87,102,22.23,Glasgow Warriors
Sam Johnson,center,29,1.85,102,22.23,Glasgow Warriors
Sione Tuipulotu,center,25,1.79,103,22.23,Glasgow Warriors
Stafford Mcdowall,center,24,1.93,103,22.23,Glasgow Warriors
Tom Jordan,center,24,1.89,95,22.23,Glasgow Warriors
Sebastian Cancelliere,winger,29,1.85,90,22.23,Glasgow Warriors
Walter Fifita,winger,25,1.95,118,22.23,Glasgow Warriors
Cole Forbes,fullback,23,1.8,91,22.23,Glasgow Warriors
Josh Mckay,fullback,25,1.83,95,22.23,Glasgow Warriors
Ollie Smith,fullback,22,1.88,88,22.23,Glasgow Warriors
Rufus Mclean,fullback,22,1.81,84,22.23,Glasgow Warriors
Andrew Porter,prop,26,1.84,125,22.23,Leinster
Cian Healy,prop,35,1.85,117,22.23,Leinster
Ed Byrne,prop,29,1.8,114,22.23,Leinster
Michael Alaalatoa,prop,31,1.91,130,22.23,Leinster
Michael Milne,prop,22,1.83,115,22.23,Leinster
Tadhg Furlong,prop,29,1.83,125,22.23,Leinster
Tom Clarkson,prop,22,1.85,118,22.23,Leinster
Vakh Abdaladze,prop,26,1.88,121,22.23,Leinster
Dan Sheehan,hooker,24,1.91,111,22.23,Leinster
James Tracy,hooker,31,1.84,107,22.23,Leinster
Ronan Kelleher,hooker,24,1.85,106,22.23,Leinster
Brian Deeny,lock,22,2.01,112,22.23,Leinster
Charlie Ryan,lock,23,2.03,115,22.23,Leinster
James Ryan,lock,26,2.03,116,22.23,Leinster
Jason Jenkins,lock,26,2.03,125,22.23,Leinster
Joe Mccarthy,lock,21,1.98,119,22.23,Leinster
Ross Molony,lock,28,1.98,113,22.23,Leinster
Ryan Baird,lock,23,1.98,113,22.23,Leinster
Caelan Doris,back row,24,1.93,107,22.23,Leinster
Jack Conan,back row,30,1.93,114,22.23,Leinster
Josh Van der flier,back row,29,1.83,105,22.23,Leinster
Martin Moloney,back row,21,1.85,102,22.23,Leinster
Max Deegan,back row,26,1.93,110,22.23,Leinster
Rhys Ruddock,back row,31,1.91,113,22.23,Leinster
Scott Penny,back row,23,1.85,104,22.23,Leinster
Will Connors,back row,26,1.96,105,22.23,Leinster
Cormac Foley,scrum-half,22,1.8,88,22.23,Leinster
Jamison Gibson-park,scrum-half,30,1.76,83,22.23,Leinster
Luke Mcgrath,scrum-half,29,1.75,84,22.23,Leinster
Nick Mccarthy,scrum-half,27,1.8,84,22.23,Leinster
Ciaran Frawley,fly-half,24,1.91,98,22.23,Leinster
Harry Byrne,fly-half,23,1.91,95,22.23,Leinster
Johnny Sexton,fly-half,37,1.88,92,22.23,Leinster
Ross Byrne,fly-half,27,1.93,95,22.23,Leinster
Charlie Ngatai,center,32,1.88,104,22.23,Leinster
Garry Ringrose,center,27,1.91,96,22.23,Leinster
Jimmy O'brien,center,25,1.83,90,22.23,Leinster
Robbie Henshaw,center,29,1.91,103,22.23,Leinster
Tommy O'brien,center,24,1.83,95,22.23,Leinster
Dave Kearney,winger,33,1.8,91,22.23,Leinster
James Lowe,winger,30,1.88,105,22.23,Leinster
Jordan Larmour,winger,25,1.78,91,22.23,Leinster
Liam Turner,winger,23,1.83,105,22.23,Leinster
Hugo Keenan,fullback,26,1.85,92,22.23,Leinster
Jamie Osborne,fullback,20,1.93,97,22.23,Leinster
Dave Kilcoyne,prop,33,1.85,118,22.23,Munster
James French,prop,23,1.85,121,22.23,Munster
Jeremy Loughman,prop,27,1.85,120,22.23,Munster
Josh Wycherley,prop,23,1.83,108,22.23,Munster
Keynan Knox,prop,23,1.85,115,22.23,Munster
Liam O'connor,prop,27,1.8,110,22.23,Munster
Roman Salanoa,prop,24,1.83,123,22.23,Munster
Stephen Archer,prop,34,1.88,121,22.23,Munster
Chris Moore,hooker,22,1.85,110,22.23,Munster
Diarmuid Barron,hooker,24,1.84,100,22.23,Munster
Niall Scannell,hooker,30,1.85,111,22.23,Munster
Scott Buckley,hooker,22,1.8,104,22.23,Munster
Eoin O'connor,lock,22,2.01,108,22.23,Munster
Fineen Wycherley,lock,24,1.96,112,22.23,Munster
Jean Kleyn,lock,29,2.03,121,22.23,Munster
Paddy Kelly,lock,22,2.01,111,22.23,Munster
RG Snyman,lock,27,2.06,120,22.23,Munster
Tadhg Beirne,lock,30,1.98,114,22.23,Munster
Thomas Ahern,lock,22,2.06,117,22.23,Munster
Alex Kendellen,back row,21,1.88,105,22.23,Munster
Gavin Coombes,back row,24,1.98,110,22.23,Munster
Jack Daly,back row,24,1.83,106,22.23,Munster
Jack O'donoghue,back row,28,1.91,110,22.23,Munster
Jack O'sullivan,back row,24,1.89,100,22.23,Munster
John Hodnett,back row,23,1.85,105,22.23,Munster
Peter O'mahony,back row,33,1.91,108,22.23,Munster
Conor Murray,scrum-half,33,1.88,94,22.23,Munster
Craig Casey,scrum-half,23,1.65,76,22.23,Munster
Neil Cronin,scrum-half,29,1.73,83,22.23,Munster
Paddy Patterson,scrum-half,23,1.75,75,22.23,Munster
Ben Healy,fly-half,23,1.91,97,22.23,Munster
Jack Crowley,fly-half,22,1.83,90,22.23,Munster
Joey Carbery,fly-half,26,1.83,86,22.23,Munster
Antoine Frisch,center,26,1.88,99,22.23,Munster
Chris Farrell,center,29,1.91,110,22.23,Munster
