Player,Position,Age,Weight,Height,Year,Team
Jeffery Toomaga-allen,prop,31,1.92,125,22.23,Ulster
Marty Moore,prop,31,1.8,126,22.23,Ulster
Tom O'toole,prop,24,1.85,124,22.23,Ulster
Declan Moore,hooker,26,1.84,112,22.23,Ulster
John Andrew,hooker,29,1.8,103,22.23,Ulster
Rob Herring,hooker,32,1.85,106,22.23,Ulster
Tom Stewart,hooker,21,1.85,100,22.23,Ulster
Alan O'connor,lock,30,1.97,113,22.23,Ulster
Cormac Izuchukwu,lock,22,2.01,114,22.23,Ulster
Frank Bradshaw,lock,27,2.05,119,22.23,Ulster
Iain Henderson,lock,30,1.98,116,22.23,Ulster
Kieran Treadwell,lock,26,1.99,117,22.23,Ulster
Sam Carter,lock,33,2.01,116,22.23,Ulster
David Mccann,back row,22,1.93,108,22.23,Ulster
Duane Vermeulen,back row,36,1.93,119,22.23,Ulster
Greg Jones,back row,26,1.96,108,22.23,Ulster
Jordi Murphy,back row,31,1.88,106,22.23,Ulster
Marcus Rea,back row,25,1.89,109,22.23,Ulster
Matty Rea,back row,29,1.93,113,22.23,Ulster
Nick Timoney,back row,27,1.88,114,22.23,Ulster
Sean Reffell,back row,24,1.8,95,22.23,Ulster
Dave Shanahan,scrum-half,29,1.76,80,22.23,Ulster
John Cooney,scrum-half,32,1.78,87,22.23,Ulster
Michael Mcdonald,scrum-half,23,1.78,85,22.23,Ulster
Nathan Doak,scrum-half,20,1.85,87,22.23,Ulster
Angus Curtis,fly-half,24,1.78,93,22.23,Ulster
Billy Burns,fly-half,28,1.83,87,22.23,Ulster
Ian Madigan,fly-half,33,1.81,91,22.23,Ulster
Mike Lowry,fly-half,24,1.71,80,22.23,Ulster
Aaron Sexton,center,22,1.88,94,22.23,Ulster
Ben Moxham,center,21,1.91,97,22.23,Ulster
Jacob Stockdale,center,26,1.91,103,22.23,Ulster
James Hume,center,24,1.88,98,22.23,Ulster
Luke Marshall,center,31,1.8,99,22.23,Ulster
Stewart Moore,center,23,1.83,91,22.23,Ulster
Stuart Mccloskey,center,30,1.93,111,22.23,Ulster
Will Addison,center,30,1.85,95,22.23,Ulster
Craig Gilroy,winger,31,1.83,93,22.23,Ulster
Rob Lyttle,winger,25,1.75,85,22.23,Ulster
Robert Baloucoune,winger,25,1.94,99,22.23,Ulster
Ethan Mcilroy,fullback,22,1.88,86,22.23,Ulster
Jake Flannery,fullback,23,1.83,91,22.23,Ulster
